site_type,x,y
outlier,0.06936091580428183,0.2183671675156802
outlier,0.8177751987241209,0.7878363474737853
outlier,0.9426217323634773,0.09785303962416947
outlier,0.26938187633641064,0.7098304661922157
outlier,0.16934812325052917,0.21782304323278368
outlier,0.033895622473210096,0.2679435929749161
outlier,0.1787850041873753,0.5047679517883807
outlier,0.6416653655469418,0.18858692678622901
outlier,0.02287774346768856,0.4394293250516057
outlier,0.00832482660189271,0.6698192958720028
outlier,0.39269719715230167,0.2408832311630249
outlier,0.8138805592898279,0.8932648957706988
outlier,0.3762484553735703,0.8827563868835568
outlier,0.380812183720991,0.8140632545109838
outlier,0.264918377622962,0.6332646082155406
outlier,0.43933431641198695,0.9410875446628779
outlier,0.45760715124197304,0.6939114243723452
outlier,0.5407075472176075,0.843702238984406
outlier,0.6656798298936337,0.38464446016587317
outlier,0.1126989375334233,0.39112994633615017
cluster,0.6328872904684979,0.6819542888358352
cluster,0.7659776662290851,0.6363014843205625
cluster,0.7480504241395233,0.7473562602039228
cluster,0.7042133920367953,0.7926683354607297
cluster,0.6837880814948734,0.6193886014826991
cluster,0.6935027269389525,0.7850506692441382
cluster,0.7930024432033124,0.7336719799506508
cluster,0.7317994272200573,0.6693165634522193
cluster,0.672274001791245,0.7264161771664118
cluster,0.7566306580810856,0.7421209824783487
cluster,0.6594376767522468,0.6222700766822467
cluster,0.7304416471553092,0.7444305901126126
cluster,0.7430760645318842,0.7720824527620835
cluster,0.680713211128379,0.7214813464314519
cluster,0.672657763041349,0.685993781685749
cluster,0.623473691799302,0.7023369766509805
cluster,0.7070497350412684,0.6370469361193869
cluster,0.6441317928539416,0.7582103291568763
cluster,0.6704077076790185,0.7731947259653783
cluster,0.6465889173422591,0.7799724209422481
