Psilometriocnemus,Paraleptophlebia,Stictochironomus,Paratanytarsus,Pseudosuccinea,Eukiefferiella,Tipula,Bezzia,Cricotopus,Baetis,Hyalella,Micropsectra,Sphaerium,Gammarus,Simulium,Diplocladius,Caenis,Gyraulus,Tvetnia,Optioservus,Corynoneura,Paraphaenocladius,Chironomus,Pseudosmittia,Cladotanytarsus,Agabus,Ceratopsyche,Ochrotrichia,Paratendipes
0.525126247408681,0,0,0,0,0.38138503570319493,0.13483997248204102,0.3524803884750802,0,0,0,0.18257418582982157,0.13483997248204102,0,0.09534625893453881,0.055048188251987575,0.19847906537233276,0,0,0.40451991750380456,0,0.07784989441430985,0.11009637650397515,0,0,0,0.389249472092958,0,0
0,0,0,0,0.05270462766947299,0.4216370213557839,0.09128709291752768,0.38005847503304596,0,0,0.05270462766947299,0.4281744192888376,0.09128709291752768,0,0.05270462766947299,0,0.14907119849998599,0,0,0.42491829279939874,0.05270462766947299,0.5082650227325636,0,0,0.05270462766947299,0,0,0,0.05270462766947299
0,0,0.6023552593712187,0,0,0,0,0.13303802104705545,0.06651901051955321,0.4511538795086551,0,0,0,0.5022075161932853,0.21035158094248854,0.06651901051955321,0,0,0,0,0,0,0,0,0,0.3258752679484445,0,0,0.06651901051955321
0,0,0,0,0.08111071056538127,0.11470786693528089,0.05735393346764044,0.17206180040292132,0.7779866052154991,0,0.05735393346764044,0,0,0,0.15174424466672098,0.4900322223562124,0,0,0,0,0,0.23647632573172933,0,0,0,0.05735393346764044,0,0,0.12824729401064425
0,0,0,0,0.2711630722733202,0,0.928840728025648,0,0,0,0,0,0,0,0,0,0,0.22140372138502382,0,0,0,0,0,0.09901475429766743,0,0.07001400420140048,0,0,0
0,0.8995157756995765,0.06441566263829696,0,0,0,0,0.09109750372481387,0.18219500744962774,0,0,0.22314240098242497,0,0,0,0,0,0,0,0,0.1932469879166623,0.12883132526596533,0.06441566263829696,0,0.15778550489407267,0.11157120048354198,0,0,0
0,0.46164353575042305,0,0.18107149208368792,0,0,0,0.2862991671981753,0.2560737598444864,0,0,0.2560737598444864,0.2217663812847195,0,0,0.128036879931942,0.2217663812847195,0,0,0,0.5580998206829364,0,0,0.128036879931942,0,0.18107149208368792,0,0,0.2560737598444864
0.9423691959614083,0.07053456157658111,0,0.04987546680293532,0.2685876085902592,0,0,0,0,0,0,0,0,0,0,0.13195808167293807,0,0.12216944434023401,0,0,0,0,0,0,0,0,0,0,0
0.8065992869256037,0,0,0,0.15523010513128882,0.15523010513128882,0.15523010513128882,0,0,0,0,0,0,0,0,0.245440346834631,0,0.245440346834631,0,0,0.15523010513128882,0,0.29040893476393653,0.10976425997659799,0,0.15523010513128882,0,0,0.10976425997659799
0.13130643285972254,0,0.15536386656646634,0,0,0,0.058722021951470346,0.29361010975735174,0.30512857662936466,0,0.31622776601683794,0.227429413073671,0.5445656288620602,0,0.36198685440029543,0.3373323338316027,0,0.16609095970747995,0,0,0,0,0.058722021951470346,0.2034190510862431,0,0.08304547985373997,0,0,0.058722021951470346
0.1767766952966369,0,0.1767766952966369,0,0,0,0,0,0.2958039891549808,0.33541019662496846,0.22360679774997896,0,0.3872983346207417,0,0,0,0.07905694150420949,0.07905694150420949,0,0.1767766952966369,0,0,0,0,0.15811388300841897,0.07905694150420949,0,0.6754628043053148,0.07905694150420949
0.14433756733005682,0,0,0.6224949798674911,0.06454972243702965,0,0,0.14433756733005682,0.37638632637071495,0,0.4787135538702612,0,0.21408720964088235,0,0.09128709291786621,0.09128709291786621,0.25000000001946876,0,0,0.11180339888369618,0.12909944488124048,0,0,0.12909944488124048,0,0.06454972243702965,0.09128709291786621,0,0.11180339888369618
0.4188539082464005,0.07647191129247068,0,0,0.1081476140754799,0.1081476140754799,0.28613169181332154,0.07647191129247068,0.4325904563765415,0,0,0,0,0,0,0.26490647141482593,0,0,0.6021404316281613,0,0.17099639201929823,0,0,0.07647191129247068,0.17099639201929823,0.13245323569218084,0,0,0.07647191129247068
0.9258200997725514,0,0,0,0,0,0,0.3779644730092272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
